feature,spearman_rho_grade,p_grade,cv_r2_vs_progression
glcm_homogeneity,-0.3745244022804438,4.9172027609635935e-61,-0.1496
glcm_contrast,0.3507911505950241,2.884927406679167e-53,-0.1898
glcm_correlation,-0.34713317648143915,3.9776681430067016e-52,-0.2021
sai,-0.3575708598567076,2.0317481236181508e-55,-0.325
epithelial_frac,0.31216609582244537,5.5920621367266346e-42,-0.3395
nuclei_frac,0.3290744655501821,1.0145514234142277e-46,-0.3676
lumen_frac,-0.3127756555712347,3.818657371014033e-42,-0.382
crowding_index,0.28432768059284264,8.046942780951946e-35,-0.4273
stroma_frac,-0.11610106235479715,7.850821516465703e-07,-0.4482
epi_stroma_ratio,0.27359929771822533,2.860144961953882e-32,-0.4976
glcm_energy,-0.10573474087351711,6.942778037181215e-06,-0.5215
texture_entropy,0.05943364358759081,0.011667846708214056,-0.5315
