grade,feature,kruskal_H,p_value,domain_variant
G3,lumen_frac,165.84421655400337,9.713728204668584e-37,True
G3,nuclei_frac,231.6951698344313,4.875656809267465e-51,True
G3,epithelial_frac,360.70650076382174,4.716051791130437e-79,True
G3,stroma_frac,115.0249373073152,1.0535428961605655e-25,True
G3,epi_stroma_ratio,336.1535444259566,1.0120111368396872e-73,True
G3,crowding_index,169.75383527454233,1.375381027319871e-37,True
G3,texture_entropy,50.75861464226273,9.504009809814263e-12,True
G3,glcm_energy,8.916431281197674,0.011583013116979915,True
G3,glcm_contrast,269.4205592962296,3.1337828044030985e-59,True
G3,glcm_homogeneity,204.57189584026605,3.782485240406089e-45,True
G3,glcm_correlation,203.89835973377694,5.297046059104734e-45,True
G3,sai,277.71144492512485,4.962790632663204e-61,True
G4,lumen_frac,23.81763016407446,6.73080988490651e-06,True
G4,nuclei_frac,49.137817494676916,2.137265644025891e-11,True
G4,epithelial_frac,107.96741668397905,3.590652316905986e-24,True
G4,stroma_frac,113.44359729705862,2.3229285050456904e-25,True
G4,epi_stroma_ratio,119.90046589018289,9.203322551393897e-27,True
G4,crowding_index,78.1066765391015,1.0948400848253623e-17,True
G4,texture_entropy,70.52854875207981,4.840834445023013e-16,True
G4,glcm_energy,165.590616638935,1.1026926235523388e-36,True
G4,glcm_contrast,177.63450651500426,2.6739729675633484e-39,True
G4,glcm_homogeneity,197.294760732113,1.4387556854239514e-43,True
G4,glcm_correlation,82.55204126455897,1.185910746229453e-18,True
G4,sai,2.4525697171382035,0.29338050559786155,False
G5,lumen_frac,277.6259941883425,5.179422577151235e-61,True
G5,nuclei_frac,76.80508567941878,2.098879731482222e-17,True
G5,epithelial_frac,111.44406547838527,6.3128963809919525e-25,True
G5,stroma_frac,124.87237200233467,7.661414311427289e-28,True
G5,epi_stroma_ratio,111.95401430948414,4.892092715452633e-25,True
G5,crowding_index,36.172021297836636,1.3974792738129292e-08,True
G5,texture_entropy,289.8552302828616,1.1448180512731221e-63,True
G5,glcm_energy,359.5988748752079,8.205337924826089e-79,True
G5,glcm_contrast,266.26080713839775,1.5212491772111443e-58,True
G5,glcm_homogeneity,218.91584059900174,2.904218003478611e-48,True
G5,glcm_correlation,336.53347321131423,8.369216532695556e-74,True
G5,sai,164.5044702163059,1.8980522705862965e-36,True
