feature,kruskal_H,p_value,significant
epithelial_frac,1489.9063964343786,0.0,True
epi_stroma_ratio,1403.2516815772524,1.3629913597277228e-302,True
nuclei_frac,1378.4124943865706,3.3151931514865235e-297,True
crowding_index,1324.6273532257694,1.522453054711631e-285,True
stroma_frac,1173.7205123033766,7.926896806964735e-253,True
glcm_homogeneity,1100.5170876196826,5.849330178949226e-237,True
glcm_contrast,1098.4351122657513,1.6534095839651783e-236,True
sai,863.9467168899246,1.0784878888990158e-185,True
glcm_energy,694.0106937554137,6.90364699971963e-149,True
texture_entropy,673.3753294990565,2.0273105067165895e-144,True
lumen_frac,662.2881971542015,5.096497477426999e-142,True
glcm_correlation,617.6397631500604,2.3568872854633867e-132,True
