feature,spearman_rho,p_value,p_bonferroni,significant
glcm_correlation,-0.4770605299569537,5.915487327395493e-103,7.098584792874592e-102,True
lumen_frac,-0.43387392631114563,1.615754291071229e-83,1.938905149285475e-82,True
sai,-0.4079745292102457,3.8316664778722326e-73,4.597999773446679e-72,True
glcm_homogeneity,-0.37341719755674824,1.1718981974513179e-60,1.4062778369415814e-59,True
glcm_contrast,0.34847292157301474,1.5277168646765758e-52,1.833260237611891e-51,True
nuclei_frac,0.2892917769697104,4.861846717442281e-36,5.834216060930737e-35,True
epithelial_frac,0.2858860221042494,3.354753114541755e-35,4.025703737450106e-34,True
epi_stroma_ratio,0.20558563958404513,1.246174404225667e-18,1.4954092850708004e-17,True
crowding_index,0.20182536476091506,5.338530857452461e-18,6.406237028942953e-17,True
texture_entropy,0.05443038511225879,0.020921753598223427,0.2510610431786811,False
glcm_energy,-0.03305778386557116,0.1609355964425498,1.9312271573105975,False
stroma_frac,0.0035589909184027876,0.8800618711031433,10.560742453237719,False
