epoch,train_loss,val_loss,val_acc,val_f1,lr
1,1.44247,1.08109,0.7964,0.78454,6e-05
2,0.64059,0.33257,0.89189,0.8826,0.00012
3,0.35684,0.27319,0.9027,0.89523,0.00018
4,0.28554,0.29183,0.8973,0.89125,0.00024
5,0.26577,0.23005,0.91532,0.90582,0.0003
6,0.2637,0.21949,0.92793,0.92193,0.00029976
7,0.20773,0.2976,0.92072,0.91176,0.00029902
8,0.19837,0.24559,0.91171,0.90314,0.0002978
9,0.18112,0.23752,0.93333,0.9254,0.0002961
10,0.15177,0.24133,0.92252,0.91409,0.00029392
11,0.14926,0.23313,0.93694,0.92926,0.00029128
12,0.14689,0.24034,0.92793,0.9229,0.00028817
13,0.11078,0.44258,0.91712,0.90247,0.00028461
14,0.1152,0.32233,0.92252,0.91389,0.00028061
15,0.08792,0.35062,0.92613,0.91695,0.00027619
16,0.09106,0.31494,0.91712,0.90727,0.00027135
17,0.09119,0.27151,0.92072,0.91455,0.00026612
18,0.07443,0.35406,0.91171,0.89843,0.00026051
19,0.05888,0.28425,0.93153,0.92521,0.00025454
20,0.05677,0.34788,0.92973,0.92225,0.00024823
21,0.05698,0.34044,0.92613,0.91779,0.0002416
22,0.0532,0.31715,0.93333,0.92663,0.00023467
23,0.05019,0.42017,0.91351,0.89988,0.00022746
